Date,Race,Winner,Class
25.04,National Championships Egypt ME - ITT,AZIZ Mohab Youssef,NC
25.04,Gran Premio della Liberazione,MASCIARELLI Lorenzo,1.2U
25.04 - 01.05,Le Tour de Bretagne Cycliste,ØRN-KRISTOFF Felix,2.2
26.04,Pan-American Continental Championships MU - Road Race,GUATIBONZA Jonathan,CC
26.04,Pan-American Continental Championships WE - Road Race,LONDOÑO Juliana,CC
26.04,EPZ Omloop van Borsele Women,,1.1
26.04,National Championships Egypt ME - Road Race,RAUF Abdul Rauf Ahmed Abdul,NC
26.04,National Championships Zimbabwe ME - Road Race,DENSLOW Matthew,NC
26.04,National Championships Zimbabwe MJ - Road Race,NICHOLSON Rohnan,NC
26.04,National Championships Zimbabwe WE - Road Race,MITCHELL Helen,NC
26.04,Trofeo Emozione,MAGAGNOTTI Alessio,1.1
26.04,National Championships Zimbabwe WJ - Road Race,PIOUS Michelle,NC
27.04,Liège-Bastogne-Liège,POGAČAR Tadej,1.UWT
27.04,Liège-Bastogne-Liège Femmes,(LE COURT) PIENAAR Kimberley,1.WWT
27.04,Pan-American Continental Championships ME - Road Race,HODEG Álvaro José,CC
27.04 - 04.05,Presidential Cycling Tour of Turkiye,POELS Wout,2.Pro
27.04,EPZ Omloop van Borsele,,1.1
27.04,Giro di Primavera,MØLLER ANDERSEN Noah Lindholm,1.1
27.04,Giro della Provincia di Biella - Torino-Biella,ANDERSEN Kasper,1.2
27.04,Rutland-Melton CiCLE Classic,GRANGER Ben,1.2
