Rank,Rider,Team,Points
1632,SANCHO José Pablo,,10
1633,JULAJUJ Alex Rony,,10
1634,AKPABLI Victor,,10
1635,MAHMUTOVIĆ Amir,,10
1636,HOULDER Amede,,10
1637,KUMAR Niraj,,10
1638,KAMOLOV Avazbek,,10
1639,FARFAN Sergio,,10
1640,WHITTAKER Alexander,,10
1641,GREEN Essiel,,10
1642,GOFF Sharney,,10
1643,DAHALANI Abderemane,,10
1644,CÁ Apolinário,,10
1645,EDWARD Jalal,,10
1646,MUT Dictor,,10
1647,JALLOH Ibrahim,,10
1648,CISSÉ Cheikhouna,,10
1649,NGO Van Phuong,,10
1650,SÁNCHEZ Ángel,Tavfer-Ovos Matinados-Mortágua,9
1651,CARVALHO Rui,GI Group Holding - Simoldes - UDO,9
1652,IRIBE Shotaro,,9
1653,WALTERS Sydney,,9
1654,PLUTO Mārtiņš,Energus Cycling Team,9
1655,ADAMIETZ Johannes,REMBE | rad-net,9
1656,GORM ALBRECHTSEN Christian,CeramicSpeed Racing p/b Aros Forsikring,9
1657,MONTENEGRO Santiago,Movistar Best PC,9
1658,MAHROUG Kamal,,9
1659,PRONSKIY Daniil,,9
1660,STIJGER Frank,,9
1661,SILVA Afonso,APHotels & Resorts / Tavira / SC Farense,9
1662,MALMBERG Matias,DBC Ballerup,9
1663,NENCINI Tommaso,Solution Tech NIPPO Rali,9
1664,JOO Daeyeong,,9
1665,CLYNHENS Toon,,9
1666,TENG Geng,,9
1667,THEILER Ole,REMBE | rad-net,9
1668,AHLSSON Jonathan,,9
1669,TODOME Yuhi,Aisan Racing Team,9
1670,PETROV Yordan,,9
1671,DORN Vinzent,,9
1672,METZGER Gabriel,,9
1673,VANDEN HEEDE Lars,Soudal Quick-Step Devo Team,9
1674,DARBELLAY Valentin,Elite Fondations Cycling Team,9
1675,LEMPE Motlatsi,,9
1676,SCHOOFS Jasper,Soudal Quick-Step Devo Team,9
1677,ABDELWAHAB Nurahmed,,9
1678,LE NY Benjamin,Team Madras Capesterre Belle-Eau,9
1679,ATTAI Corneil Kokou,,9
1680,XU Shi Ru,,9
1681,CAMILLERI John,,9
1682,JERVIS Amory,,9
1683,DEL PINO Jesus,Aviludo - Louletano - Loulé,8
1684,NISU Oskar,China Anta - Mentech Cycling Team,8
1685,BOROŠ Michael,Kasper crypto4me,8
1686,FORSTER Lars,,8
1687,LEBAS Thomas,Kinan Racing Team,8
1688,GESBERT Élie,,8
1689,HENAO Sebastián,,8
1690,STRAVERS Jarri,Universe Cycling Team,8
1691,CARDONA Julián,,8
1692,VAN DER TUUK Danny,Euskaltel - Euskadi,8
1693,TIENTCHEU Michel Boris,,8
1694,LEAÇA Gonçalo,Credibom / LA Alumínios / Marcos Car,8
1695,LAGNET Gari,,8
1696,HILLEN Michiel,Baloise Verzekeringen - Het Poetsbureau Lions,8
1697,KOSTAŃSKI Mateusz,Wibatech Lubelskie Perła Polski,8
1698,IDERBOLD Bold,,8
1699,SCALA Hugo,Modern Adventure Pro Cycling,8
1700,GUZZO Federico,,8
1701,MERIS Sergio,Unibet Rose Rockets,8
1702,MOYANO Tomás,,8
1703,KÄLLBERG Axel,Lucky Sport Cycling Team,8
1704,EMİŞCİ Ferhat,,8
1705,BONILLO Iker,Feira dos Sofás - Boavista,8
1706,AUS Aaron,Quick Pro Team,8
1707,AZANZA Ibai,Equipo Kern Pharma,8
1708,ARRIGHETTI Nicolò,General Store - Essegibi - F.Lli Curia,8
1709,DRIESEN Niels,Lotto - Groupe Wanty,8
1710,SERVRANCKX Gauthier,Soudal Quick-Step Devo Team,8
1711,RAVBAR Anže,Factor Racing,8
1712,ZAHÁLKA Štěpán,Kasper crypto4me,8
1713,PASCUAL Joshua,,8
1714,LEMES Bruno Martins,,8
1715,CABRAL Helker,,8
1716,CHOI Heng Wa,,7
1717,ASCONEGUY Roderyck,,7
1718,THIRÉ Jonathan,,7
1719,HAVIK Yoeri,EEW-VDK Cyclingteam,7
1720,SOHRABI Mehdi,,7
1721,VAN SCHIP Jan-Willem,Parkhotel Valkenburg,7
1722,LADNGERN Peerapong,Roojai Insurance Winspace,7
1723,GABORIAUD Guillaume,,7
1724,PETROVSKI Andrej,,7
1725,REYES Elvys Noel,,7
1726,ULLOA José Gerardo,,7
1727,QUISPE Alaín Rossbel,,7
1728,MARTIN Jonathan,EuroCyclingTrips - CCN,7
1729,AZZEM Omar,,7
1730,ALHAMMADI Sultan Hassan,,7
1731,FILUTÁS Viktor,,7
1732,BÄCKMAN Anders,,7
1733,SMALL Russell,,7
1734,GOHR Andre  Eduardo,,7
1735,AHMAD Muhammad Ameer,,7
1736,SUTER Joel,Tudor Pro Cycling Team,7
1737,TORRES Edwin Yair,,7
1738,BEN AMOR Nadhem,,7
1739,MCDUNPHY Conn,APS Pro Cycling by Team Cadence Cyclery,7
1740,KAZAMA Shoma,Shimano Racing Team,7
1741,BEZZA Quentin,SCO Dijon Team Matériel-Velo.com,7
1742,QUINTEROS Alexis Benjamin,,7
1743,SHAKOTKO Aleksandr,,7
1744,DORENBOS Yanne,Parkhotel Valkenburg,7
1745,KMIELIAUSKAS Rokas,Energus Cycling Team,7
1746,CHIKWAKA Andrew,,7
1747,GEIRSSON Hafsteinn Ægir,,7
1748,KONE Souleymane,,7
1749,HOYOS Angel Jesus,Pío Rico Cycling Team,7
1750,ELSENFAWI Ahmed,,7
1751,PEDEN George,,7
1752,RODRIGUEZ Frankel,,7
1753,HO Yen Yi,Equipo Kern Pharma,7
1754,LIANG King Hung,,7
1755,STENSBY Anton,,7
1756,SIMON Semen,,7
1757,GROZEV Gabriel,,7
1758,ZAMPERINI Edoardo,Cofidis,7
1759,BRUNO Andrea Alfio,Team Hopplà,7
1760,KRAMER Jesse,BEAT Cycling Club,7
1761,ERKAN Muhammed,Konya Büyükşehir Belediye Spor,7
1762,LI Zhen,China Anta - Mentech Cycling Team,7
1763,BAKR Mahmoud,,7
1764,LOUBSER Daniel,,7
1765,SIVOK Tomáš,Voster Team,7
1766,RABINAL Darío Emmanuel,,7
1767,DOCKX Aaron,Alpecin-Premier Tech,7
1768,VERBRUGGHE Jens,NSN Development Team,7
1769,ARRIAGADA Cristian,,7
1770,TORNEY Artuur,Team Flanders - Baloise,7
1771,BARON Levi,,7
1772,MAGALHAES Victor,,7
1773,JIMÉNEZ Dylan Roberto,,7
1774,MATOMBÉ Hanson,,7
1775,JANIKULOV Samandar,,7
1776,RAMSAY Noah,Alpecin-Premier Tech Development Team,7
1777,GÓMEZ Fausto Agustin,,7
1778,ACHAS Christodoulos,,7
1779,LORELLO Riccardo,S.C. Padovani Polo Cherry Bank,7
1780,PAVÓN Rubén Sebastián,,7
1781,BORG Luke,,7
1782,LIZARDO Jeremy,,7
1783,CHINGUI Euclides,Equipa de Ciclismo Inter Clube,7
1784,HONG Youngtaek,,7
1785,FRANKS Alex,Jakroo Handsling Racing,7
1786,ANWAR Muhammad Ismail,,7
1787,GONZÁLES Charles,,7
1788,TELEMAQUE Jaheim,,7
1789,SEKHON Harshveer,,7
1790,COSME Leonardo,,7
1791,CASEY Patrick,NSN Development Team,7
1792,SAMBINELLO Enea,UAE Team Emirates Gen Z,7
1793,RADCLIFFE George,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team,7
1794,ARIAS Facundo,,7
1795,CÂMPEAN Cătălin-Luca,Team United Shipping,7
1796,DIXON Jaequan,,7
1797,DEL ROSARIO Juan Carlos,,7
1798,MUHAMMAD Shan,,7
1799,ABI MANYU Julian,ASC Monsters Indonesia,7
1800,KLIMAVIČIUS Nikolas,Energus Cycling Team,7
1801,HLADY Gavin,EF Education - Aevolo,7
1802,HOVORUN Bogdan,,7
1803,KAPLAN Emre,,7
1804,MACK Newell,,7
1805,PRECUP Horea-Stefan,,7
1806,MOHAMED ALI Thabet,,7
1807,RIZQI Dimas Nur Fadhil,Jakarta Pro Cycling Team,7
1808,JOHNSON Anders,,7
1809,PATIL Siddhesh,,7
1810,MATKARIMOV Mukhammed Ali,Lokomotiv Manas,7
1811,SHOKO Prince,,7
1812,KOH Dalvin,,7
1813,BRAVO Henrique,Soudal Quick-Step Devo Team,7
1814,AMANIEL Desta,,7
1815,UTKIN Mikhail,,7
1816,VARGAS Leonis,,7
1817,DOUANG-APHAY Khone,,7
1818,BERMOSKY Greg,,7
1819,SANTOS Odilson,Equipa de Ciclismo Inter Clube,7
1820,FAKUDZE Calvin,,7
1821,DE LEÓN Yariel,,6
1822,GIL Gusneiver Jose,,6
1823,MARTINGIL César,Tavfer-Ovos Matinados-Mortágua,6
1824,GOMEZ Luis António,Fina Arroz CES Multimarcas Bancamiga,6
1825,CLARK Boris,Giant Cycling Team,6
1826,JOYA José Dagoberto,,6
1827,HUTCHINGS Oscar,Schils - Doltcini,6
1828,BOUVIER Léo,,6
1829,HOLSTAD Ludvik,Team Ringerike,6
1830,SOWIŃSKI Artur,,6
1831,QUINTERO Leonel,Victoire Hiroshima,6
1832,JAIME Álex,,6
1833,CAROLLO Francesco,Swatt Club,6
1834,JOHNSTON Calum,Li Ning Star,6
1835,PAYDAR SHIRVANEHDEH Sajjad,,6
1836,KOSSOKO Sadikou Jérémie,,6
1837,DUCKERT Roman,,6
1838,SWENNE Delano,VolkerWessels Cycling Team,6
1839,QUARANTA Samuel,Gragnano Sporting Club,6
1840,TASEVSKI Marjan,,6
1841,VĂIDIAN Iustin-Ioan,MENtoRISE Teem CCN,6
1842,WANG Gustav,XDS Astana Development Team,6
1843,MOURIS Wessel,Unibet Rose Rockets,6
1844,HARTEEL Jelle,Tarteletto - Isorex,6
1845,KLISMETS Kārlis,Energus Cycling Team,6
1846,TSEN Ren Bao,St George Continental Cycling Team,6
1847,NIELSEN Max,Lucky Sport Cycling Team,6
1848,GODFROID Olivier,Baloise Verzekeringen - Het Poetsbureau Lions,6
1849,HARDOUIN Louis,Van Rysel Roubaix,6
1850,BROUGH Jack,,6
1851,DIRNBAUER Josef,Hrinkow Advarics,6
1852,URIAN Jose Misael,Team Sistecredito,6
1853,SCHUTTE Ryno,,6
1854,FABRIES Ugo,UAE Team Emirates Gen Z,6
1855,SAIZONOU J. Glorad,,6
1856,GRUSZCZYNSKI Filip,MBH Bank CSB Telecom Fort,6
1857,VAN DEN EIJNDEN Guus,Alpecin-Premier Tech Development Team,6
1858,WOODS Tariq,,6
1859,BRICENO Jaylen,,6
1860,LIM BING YI Eamon,,6
1861,POTUCHA Maciej,,6
1862,GANZABAL Ander,Euskaltel - Euskadi,6
1863,HALTER Nicolas,,6
1864,ORTEGA Juan Pablo,,6
1865,DE CRESPIN DE BILLY Antoine,Team France Défense,6
1866,SOBAL Yauhen,,5
1867,MAIKIN Roman,,5
1868,MARECZKO Jakub,,5
1869,ARNDT Nikias,Bahrain - Victorious,5
1870,PAREDES César Nicolás,Hino One La Red Suzuki,5
1871,VLIEGEN Loïc,,5
1872,JANSEN Amund Grøndahl,,5
1873,SZABO Norbert,,5
1874,AGUIRRE Hernán Ricardo,,5
1875,INKELAAR Kevin,,5
1876,ELOSEGUI Iñigo,Equipo Kern Pharma,5
1877,TOC Fredy Orlando,,5
1878,LE NY Jean-Louis,Veloce Club Rouen 76,5
1879,BABOR Daniel,,5
1880,LARSEN Mathias Alexander Erik,BHS - PL Beton Bornholm,5
1881,STEPANOV Andrei,Wheeltop Rotor Chengdu Team,5
1882,BÁRTA Tomáš,Istanbul Team,5
1883,CHZHAN Igor,Quick Pro Team,5
1884,MOYA Sebastián,,5
1885,WEULINK Meindert,Parkhotel Valkenburg,5
1886,THÉOT Killian,Van Rysel Roubaix,5
1887,DAVIS Cole,,5
1888,DE MEESTER Luca,,5
1889,NASER Ahmed,Bahrain Victorious Development Team,5
1890,CLAEYS Robbe,VolkerWessels Cycling Team,5
1891,GRONDIN Donavan,Veloce Club Rouen 76,5
1892,DENS Tuur,Team Flanders - Baloise,5
1893,URIANSTAD BUGGE Martin,Uno-X Mobility,5
1894,FETTER Erik,Team United Shipping,5
1895,CANASTUJ José David,,5
1896,VANDEVELDE Yentl,Vetrapo B-Close Bal-Enzo Cycling Team,5
1897,TOUMIRE Hugo,,5
1898,KMÍNEK Vojtěch,Burgos Burpellet BH,5
1899,BOVEN Lars,,5
1900,SCHMIDBAUER Maximilian,Schwingshandl Intralogistics,5
1901,PINAZZI Mattia,Bardiani CSF 7 Saber,5
1902,STOCKWELL Oliver,Bahrain - Victorious,5
1903,DIAS Daniel,Tavfer-Ovos Matinados-Mortágua,5
1904,CHANE-FOC Julien,Team Madras Capesterre Belle-Eau,5
1905,MANENTI Marco,Bardiani CSF 7 Saber,5
1906,MENGEL Nikolaj,AIRTOX - Carl Ras,5
1907,PEZZO ROSOLA Kevin,General Store - Essegibi - F.Lli Curia,5
1908,MARCEROU Nicola,TotalEnergies,5
1909,LELANDAIS Rémi,Bourg-en-Bresse Ain Cyclisme,5
1910,JACKSON George,Whoosh - NZ Cycling Project,5
1911,LARMET Ilan,Team Adris-La Crêpe de Brocéliande-BLC,5
1912,GUILLEMETTE Mathias,Tudor Pro Cycling Team U23,5
1913,VERMOOTE Jelle,Tarteletto - Isorex,5
1914,EATHER Kurt,CCACHE x BODYWRAP,5
1915,SHEN Yutao,,5
1916,VANG AAS Eirik,Team Drali - Repsol,5
1917,BEREZNYAK Aleksandr,Wheeltop Rotor Chengdu Team,5
1918,IBÁÑEZ Javier,Caja Rural - Seguros RGA,5
1919,LÓPEZ Joseba,Caja Rural - Seguros RGA,5
1920,PICCINI Mattia,,5
1921,FREYER Philipp,Embrace The World,5
1922,MURPHY Finnegan,Meridian Racing p/b de la Uz,5
1923,MOORE Viggo,Tirol KTM Cycling Team,5
1924,PINZÓN Edgar Andrés,Team Sistecredito,5
1925,KARABUTOV Ilya,,5
1926,MÉNDEZ Arlex José,,5
1927,COLMENARES Jad Sair,,5
1928,BARBAS Rafael,Tavfer-Ovos Matinados-Mortágua,5
1929,LYCHOU Viktor,,5
1930,DE BRUYCKERE Kay,,5
1931,JANSSEN Lucas,Volharding Cycling Team,5
1932,JACOB Philippe,,5
1933,LEDEZMA Jexon,,5
1934,UDAGAWA Rui,Aisan Racing Team,5
1935,ZANINI Simone,XDS Astana Development Team,5
1936,PAIGE Charles,Bourg-en-Bresse Ain Cyclisme,5
1937,MACPHERSON Carlos,,5
1938,VERRANDO Luca,Solution Tech NIPPO Rali,5
1939,ROMIAN Davy,,5
1940,ELGHARYSY Youssef,,5
1941,MUÑOZ Hodei,Soudal Quick-Step Devo Team,5
1942,ESPARZA Fausto,,5
1943,LEWANDOWSKI Dawid,NSN Development Team,5
1944,CABALLERO Michael,,5
1945,ROLANDO Joann,Toscana Factory Devo Team,5
1946,ULLAH Sana,,5
1947,BUENO Alfredo,EF Education - Aevolo,5
1948,DE LUCA Teodor,Lucky Sport Cycling Team,5
1949,LUGTU Mike Piolo,,5
1950,YU Jiaqing,,5
1951,ZHANG Rongqi,China Anta - Mentech Cycling Team,5
1952,LI You,XDS Astana Development Team,5
1953,CHAMAN Lauro Cesar,,4
1954,ZURITA Gilver,,4
1955,STANKOVIĆ Marko,,4
1956,MUDARRA Pablo,,4
1957,HSIAO Shih Hsin,,4
1958,QUAEDVLIEG Lars,Universe Cycling Team,4
1959,MOREY Drew,,4
1960,TUGAWIN Ryan,,4
1961,VALVASORI Larry,AC Bisontine,4
1962,ATENCIO Arquimides,,4
1963,RIOU Alan,Moyon Percy Manche Normandie,4
1964,LAŠINIS Venantas,,4
1965,MONESE Phetetso,,4
1966,CAÑAVERAL Johnatan,,4
1967,SAWADA Toki,Astemo Utsunomiya Blitzen,4
1968,PLAATJIES Brandon,,4
1969,MALDONADO Anderson Samuel,,4
1970,CLAUSS Marc,,4
1971,MOHSIN Khan,,4
1972,ALNAQBI Waleed,,4
1973,VOLKAERT Jonas,,4
1974,ŠTOČEK Matúš,Kasper crypto4me,4
1975,TANI Junsei,Astemo Utsunomiya Blitzen,4
1976,BONNEFOIX Edouard,,4
1977,RIGATTI Tommaso,,4
1978,COOK Leighton,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team,4
1979,SCHURAN Michal,Team United Shipping,4
1980,PHODINGAM Sakchai,Grant Thornton Cycling Team,4
1981,FLANAGAN Liam,APS Pro Cycling by Team Cadence Cyclery,4
1982,KIMANI Wangai Evan,,4
1983,ÅRNES Daniel,Van Rysel Roubaix,4
1984,JONSSON Kristinn,,4
1985,DA SILVA SANTOS Vinicius,,4
1986,BRUN Nils,UC Haguenau,4
1987,HA Kieu Tan Dai,,4
1988,LUBEGA Abdbulnoor,,4
1989,MEEUSSEN Witse,Alpecin-Premier Tech Development Team,4
1990,VAN TRICHT Floris,NSN Cycling Team,4
1991,GIRARD Damien,,4
1992,DOMÍNGUEZ David,Feira dos Sofás - Boavista,4
1993,SAM Henry Alberto,,4
1994,JUMCHAT Nattapol,Thailand Continental Cycling Team,4
1995,VIDAURRE Martín,,4
1996,SAUNDERS Tristan,Team Brennan,4
1997,DEBAY Filimon Zerabruk,,4
1998,MACÉ Marius,SCO Dijon Team Matériel-Velo.com,4
1999,DIAZ Adrian Lorenzo,,4
2000,DÍAZ Alex,Caja Rural - Seguros RGA,4
2001,MILLET Hugo,Mayenne-Monbana-Rapido,4
2002,LAURANS Théo,Vélo Club Villefranche Beaujolais,4
2003,ARBOLEDA Anderson,,4
2004,FERREIRA Fernando Andres,,4
2005,BEN AMEUR Hatem,,4
2006,URCEL Damien,Team Madras Capesterre Belle-Eau,4
2007,PIHLJAK Tarik,,4
2008,WEATHERED Sean,,4
2009,SHARPE Cleveland,,4
2010,BERLIN Antoine,,4
2011,BARBOZA Juan Manuel,China Anta - Mentech Cycling Team,4
2012,SØNDERGAARD Oliver,Team Give Steel,4
2013,THOMPSON Gustav,Lucky Sport Cycling Team,4
2014,KAGEVI Carl,Lucky Sport Cycling Team,4
2015,SYDOR Serhii,Huansheng - Vonoa - Taishan Sport Team,4
2016,MARINOV Martin,,4
2017,QUARTERLY Thomas,,4
2018,PICHON Bastien,,4
2019,BENTAL Aviv,,4
2020,MOOLMAN Warren,Fly Cool Collective,4
2021,ALMASHGHOUNI Omar,,4
2022,VALENT Márk,MBH Bank CSB Telecom Fort,4
2023,QUIROZ Heriberto,,4
2024,FERNÁNDEZ GONZÁLEZ Óscar Hernán,,4
2025,BORGSTRÖM Johan,CK Ringen,4
2026,QUINTERO Antoni Samuel,,4
2027,DAŠIĆ Milić,,4
2028,PETERS Delvin,,4
2029,RACCAGNI Gabriele,Team Polti VisitMalta,4
2030,DE MOYER Kenay,,4
2031,GILLET Baptiste,Nice Métropole Côte d'Azur,4
2032,PIAT William,,4
2033,LI Shidong,,4
2034,AWANG ILAH Ahmad Syazrin,Malaysia Pro Cycling,4
2035,GREENWOOD Matthew,CCACHE x BODYWRAP,4
2036,KEY Adrian,,4
2037,VAN DER WERFF Thom,Development Team Picnic PostNL,4
2038,ARSAC Rémi,Decathlon CMA CGM Development Team,4
2039,CHAKAZA Amos,,4
2040,LIMA Daniel,Bourg-en-Bresse Ain Cyclisme,4
2041,HARDING Will,Mg.K Vis Costruzioni e Ambiente,4
2042,MILAKONG Ananxay,,4
2043,CIPOLLINI Edoardo,MBH Bank CSB Telecom Fort,4
2044,CLEMMENSEN Theodor August,Red Bull - BORA - hansgrohe Rookies,4
2045,PERAN Ian,,4
2046,KUMAR Sahil,,4
2047,DOHLER Jack,CCACHE x BODYWRAP,4
2048,DAUMAS Rémi,Groupama-FDJ United CT,4
2049,TRAVELLA Nicholas,Biesse - Carrera - Premac,4
2050,SALAS Josué,,4
2051,RIVERA Loyd Yuan,,4
2052,JAMOLDINOV Alimardon,,4
2053,HERBST Greg,,4
2054,ALPHONSO Von,,4
2055,BOLOGNESI Thomas,Team Technipes #inEmiliaRomagna Caffè Borbone,4
2056,IWAMURA Genji,Toscana Factory Devo Team,4
2057,KELMENDI Agron,,4
2058,LEI Kwok Hung,,4
2059,MARTINEZ Diler,,4
2060,ECHAHED Ahmed,Sidi Ali - Unlock Sports Team,4
2061,CARUANA Andrew,,4
2062,SHELTON Marcis,,4
2063,LEMAIRE Grégoire,,4
2064,DEN OTTER Jesse,Wielerploeg Groot Amsterdam,4
2065,GRÓSZ Gergő,ARBÖ Kärnten Sport Feld am See,4
2066,CABACCANG Brian,,4
2067,MCKENZIE Finn,,4
2068,AYAD Eslam,,4
2069,LOPES LEITAO João Baptista,,4
2070,STEPHAN Carbon,,4
2071,JUMA Yousef,,4
2072,LODIGIANI Valerio,,4
2073,GOOSSENS Simon,Alpecin-Premier Tech Development Team,4
2074,SASSINDA Aguinaldo,,4
2075,MERSEBURG Dominik,Hucare Factory Team,3
2076,BENYOUCEF Abdallah,Mouloudia Club d'Alger,3
2077,VAN DE MIEROOP Sam,Universe Cycling Team,3
2078,HANDGRAAF Sjors,,3
2079,SCHULTING Peter,WV De Hanzerenners,3
2080,CAMPOS Roniel,,3
2081,VAN NIEKERK Morné,St Michel - Preference Home - Auber93,3
2082,NAVARRA Junrey Janjan,,3
2083,CAÑELLAS Xavier,Illes Balears Arabay,3
2084,WILLAERTS Niels,,3
2085,NIJSSEN Kenny,Universe Cycling Team,3
2086,SESSLER Nícolas,Victoria Sports Pro Cycling,3
2087,PERNSTEINER Hermann,,3
2088,MILES Carson,Anicolor / Campicarn,3
2089,JAMAICA Javier Ernesto,,3
2090,DA SILVA Tiano,,3
2091,DUIJVESTEIJN Roy,,3
2092,SALGUEIRO Carlos Miguel,APHotels & Resorts / Tavira / SC Farense,3
2093,VOOGT Niek,Parkhotel Valkenburg,3
2094,KARPENKO Gleb,Quick Pro Team,3
2095,MARIN Julien,AVC Aix Provence Dole,3
2096,SOMMER Jan,Elite Fondations Cycling Team,3
2097,RUIZ Hugo Nestor Emiliano,,3
2098,HANSEN Peter Asbjørn,,3
2099,BLUHM Oscar,Team Give Steel,3
2100,MAGNO RABELO Euller,,3
2101,KARMAZHAKOV Sergey,,3
2102,STENNING Oliver,,3
2103,CABEDO Marc,Natural Greatness - Rali - Alé,3
2104,HARRIS Jonty,,3
2105,MATHIESEN Phillip,,3
2106,ZANGERLE Emanuel,Team Vorarlberg,3
2107,MOONEN Zeno,Tarteletto - Isorex,3
2108,JANSSEN Christoph,Huansheng - Vonoa - Taishan Sport Team,3
2109,SAVIOZ Colin,Unibet Rose Rockets,3
2110,HUNDT August Birk,Team CO:PLAY-Giant Store,3
2111,HELLERUP Malte,Team ColoQuick,3
2112,MAINGUENAUD Lucas,Vélo Club Villefranche Beaujolais,3
2113,ISPACHE Julio Amilcar,,3
2114,MENGS Petros,,3
2115,WANG Kuicheng,Bodywrap LTwoo Cycling Team,3
2116,VAN DER WAL Rik,EEW-VDK Cyclingteam,3
2117,KELLER Paul,,3
2118,DIAZ Christopher Jahir,,3
2119,HAMEL Félix,,3
2120,VALENTI Luke,,3
2121,ALFONSO Antonio,,3
2122,PACHECO Gabriel,,3
2123,LIGHTFOOT Mark,,3
2124,RIŠKA Richard,Hrinkow Advarics,3
2125,FALK PAARUP Jakob,Team CO:PLAY-Giant Store,3
2126,PERRACCHIONE Alessandro,,3
2127,GAILLARD Baptiste,Team Madras Capesterre Belle-Eau,3
2128,VONGDEUANE Thanakone,,3
2129,KELLEY Garin,,3
2130,NEFZI Yassine,,3
2131,VAN STRIJTHEM Matijs,Soudal Quick-Step Devo Team,3
2132,VRIES Lukas,Parkhotel Valkenburg,3
2133,ŠUMPÍK Pavel,Development Team Picnic PostNL,3
2134,ANDERSEN Oscar Aakvist,,3
2135,KIM Jongseok,,3
2136,TOSSAVI Ted,,3
2137,VAN DYCK Wesley,K.O.F.M. x Thielemans - Bildin - Van Eyck Sport Cycling Team,2
2138,BICHLMANN Daniel,Schwingshandl Intralogistics,2
2139,ALVARADO Adrian,,2
2140,FUENTES Yorman,,2
2141,TZORTZAKIS Polychronis,,2
2142,CHAOUFI Tarik,,2
2143,JANG Kyung-Gu,,2
2144,LIPHONGYU Navuti,Thailand Continental Cycling Team,2
2145,MALDONADO Ignacio Raúl,,2
2146,DURÁN Alejandro,,2
2147,CAMINGAO John Mark,,2
2148,TALAČKA Lukas,,2
2149,TOC Gerson,,2
2150,GRYNIV Vitaliy,,2
2151,KIVISTIK Gert,,2
2152,BASSON Gustav,Tshenolo Pro Cycling Team,2
2153,ŤOUPALÍK Adam,Unibet Rose Rockets,2
2154,HAMMERSCHMID Marvin,Schwingshandl Intralogistics,2
2155,BYUKUSENGE Patrick,,2
2156,BURU Temesgen,,2
2157,DE KOE Denzel,,2
2158,RICHARDSON Che'Quan,,2
2159,SIBANDA Mthokozisi,,2
2160,ODA Hijiri,Aisan Racing Team,2
2161,PENG Yuan Tang,,2
2162,LE CUNFF Kévin,,2
2163,GROß Felix,,2
2164,PEÁK Barnabás,MBH Bank CSB Telecom Fort,2
2165,ÖZGÜR Batuhan,Konya Büyükşehir Belediye Spor,2
2166,MARENZI Lorenzo,,2
2167,FLÓREZ Miguel Eduardo,,2
2168,LAO Long San,,2
2169,MASON James Brock,,2
2170,KNOLLE Jon,,2
2171,MUN Yong Liang,,2
2172,BONNICI Mark,,2
2173,MORALES Pedro Pablo,,2
2174,GERAN Ronald,,2
2175,MAINGUENAUD Tom,Nice Métropole Côte d'Azur,2
2176,QUÀNG Văn Cường,,2
2177,LOOHUIS Lars,,2
2178,MARCHUK Dzianis,,2
2179,POPOV Martin,,2
2180,BAVEC Timotej,,2
2181,VILA Emiliano,ASPTT Nancy Meurthe-et-Moselle,2
2182,COLEMAN Zak,,2
2183,SKIVILD Robin Juel,STARK - Peter Ellegaard Track Team powered by SANA,2
2184,RIEGLER Nikolas,,2
2185,HERTZ Benjamin,Team Give Steel,2
2186,BETTENDORFF Loïc,Hrinkow Advarics,2
2187,RIDOLFO Filippo,Team Novo Nordisk,2
2188,GASPARINI Alessio,P.A.S. Ioanninon - P&I,2
2189,KELLY Adam,Campana Imballagi - Morbiato - Trentino,2
2190,BERHE Welay Hagos,,2
2191,NG Sum Lui,,2
2192,RINCON German,,2
2193,LORENZO Randish Abdul,,2
2194,BIN FAISAL Arfan,,2
2195,MESSNER Martin,WSA KTM Graz,2
2196,CAICEDO David Sebastian,,2
2197,TRAPP Eric,,2
2198,WAHHI Muhammad Zahin,,2
2199,PETIT Clément,Veloce Club Rouen 76,2
2200,GOMEZ Nicolas David,GW Erco SportFitness,2
2201,ELSAIFY Hassan,,2
2202,HORNBLOW Keegan,,2
2203,ALONSO Agustín,,2
2204,MOLINA Igor Teodoro,,2
2205,PAVLIDES Konstantinos,,2
2206,SAM Edwin,,2
2207,ŘÍMAN Jakub,ATT Investments,2
2208,VANCHEVSKI Viktor,Cyklotym Havířov - Tirana,2
2209,KLOPPER Christiaan,Tshenolo Pro Cycling Team,2
2210,ARAMAYO Jose Manuel,Pío Rico Cycling Team,2
2211,DE LOS SANTOS GUZMAN Hector,,2
2212,MAULIDAN Muhammad,,2
2213,CANNISTER Goldwynn,,2
2214,BELMANS Lennert,Alpecin-Premier Tech,2
2215,APONIK Dan,EuroCyclingTrips - CCN,2
2216,EGIN Ali,Konya Büyükşehir Belediye Spor,2
2217,GUILLON Célestin,,2
2218,MACHHOLDT Magnus,Team CO:PLAY-Giant Store,2
2219,LUMPAROV Georgi,,2
2220,SĘK Igor,Wibatech Lubelskie Perła Polski,2
2221,ADOMAITIS Rokas,,2
2222,OMAR Muhammad Faiz Fakhri,Malaysia Pro Cycling,2
2223,URI Yonatan,,2
2224,HURTADO Josué Oswaldo,,2
2225,SEKKINY Elyass,,2
2226,AYYORKUN Mustafa,,2
2227,HARASIM Mihnea-Alexandru,Team Skyline,2
2228,KOKAS Raphael,Schwingshandl Intralogistics,2
2229,PLACE Maxence,,2
