Rank,Rider,Team,Points
409,AGIRRE Jon,Euskaltel - Euskadi,149
410,IRIBAR Unai,Equipo Kern Pharma,149
411,NIZZOLO Giacomo,,148
412,BRAZ AFONSO Clément,Groupama - FDJ United,148
413,SCHIFFER Anton,Team Visma | Lease a Bike,148
414,CHAVES Esteban,,147
415,ARVANITOU Nikiforos,Team United Shipping,147
416,CHAWCHIANGKWANG Peerapol,Thailand Continental Cycling Team,146
417,LEITÃO Iúri,Caja Rural - Seguros RGA,146
418,TOLIO Alex,Bardiani CSF 7 Saber,146
419,DE GENDT Aimé,Pinarello Q36.5 Pro Cycling Team,144
420,MATTHEIS Oliver,BIKE AID,144
421,LOUVEL Matis,NSN Cycling Team,144
422,CONCI Nicola,XDS Astana Team,143
423,CÔTÉ Pier-André,NSN Cycling Team,142
424,LEROUX Samuel,TotalEnergies,141
425,BJERG Mikkel,UAE Team Emirates - XRG,141
426,TERCERO Fernando,Team Polti VisitMalta,141
427,EINHORN Itamar,NSN Cycling Team,140
428,DE LA CALLE Hugo,Burgos Burpellet BH,140
429,DECOMBLE Maxime,Groupama - FDJ United,140
430,VINOKUROV Nicolas,XDS Astana Team,139
431,KOERDT Bjorn,Team Picnic PostNL,139
432,VALTER Attila,Bahrain - Victorious,138
433,TJØTTA Martin,Uno-X Mobility,138
434,HATHERLY Alan,Team Jayco AlUla,137
435,ALLEGAERT Piet,Cofidis,136
436,BAIS Davide,Team Polti VisitMalta,136
437,BRAET Vito,Lotto Intermarché,136
438,GARIBBO Nicolò,Team UKYO,135
439,VAN DIJKE Tim,Red Bull - BORA - hansgrohe,135
440,HUENS Axel,Groupama - FDJ United,135
441,LAMPAERT Yves,Soudal Quick-Step,134
442,GUERNALEC Thibault,TotalEnergies,134
443,CAVAGNA Rémi,Groupama - FDJ United,133
444,NICOLAU Joel,Caja Rural - Seguros RGA,133
445,SPARFEL Aubin,Decathlon CMA CGM Development Team,133
446,PACHER Quentin,Groupama - FDJ United,132
447,SMITH Dion,NSN Cycling Team,132
448,MAESTRI Mirco,Team Polti VisitMalta,132
449,RASCH Jesper,China Anta - Mentech Cycling Team,132
450,JUARISTI Txomin,Euskaltel - Euskadi,132
451,UHLIG Henri,Alpecin-Premier Tech,132
452,GACHIGNARD Thomas,TotalEnergies,132
453,SAINBAYAR Jambaljamts,Burgos Burpellet BH,131
454,RIVERA Brandon Smith,INEOS Grenadiers,131
455,VAN DER TUUK Axel,Euskaltel - Euskadi,131
456,MARTÍ Pau,NSN Cycling Team,131
457,SEPÚLVEDA Eduardo,Li Ning Star,130
458,VAN ASBROECK Tom,NSN Cycling Team,130
459,VAHTRA Norman,China Anta - Mentech Cycling Team,130
460,KENCH Josh,Groupama - FDJ United,130
461,WANDAHL Frederik,Red Bull - BORA - hansgrohe,128
462,AMAN Awet,Istanbul Team,128
463,SCOTSON Callum,Decathlon CMA CGM Team,127
464,GÓMEZ Germán Darío,Team Polti VisitMalta,127
465,CUYLITS Mauro,Lotto - Groupe Wanty,127
466,MAISONOBE Sam,Cofidis,127
467,JUNGELS Bob,INEOS Grenadiers,125
468,JANSE VAN RENSBURG Reinardt,Tshenolo Pro Cycling Team,124
469,TSISHKOU Raman,Li Ning Star,124
470,ROULAND Louis,Cofidis,124
471,AUGUST Andrew,INEOS Grenadiers,124
472,VERVAEKE Louis,Soudal Quick-Step,123
473,CAMARGO Diego Andrés,Team Medellín - EPM,121
474,LEONARD Michael,EF Education - EasyPost,121
