Date,Race,Winner,Class,nota,nota_recalibrada
09.04 - 13.04,Circuit des Ardennes,GILMORE Brady,2.2,9.05,6.77
09.04,National Championships Uzbekistan WU - ITT,RIZAEVA Asal,NC,,
09.04,Région Pays de la Loire Tour - Féminin,DIJKSTRA Anneke,1.2,,
10.04,Grand Prix Surf City,RYSZ Kaja,1.1,,
10.04,National Championships Uzbekistan MU - Road Race,TSVETKOV Nikita,NC,7.48,1.43
10.04,National Championships Uzbekistan WU - Road Race,ELMURODOVA Mohinabonu,NC,,
10.04 - 13.04,Tour of Mersin,DE BOD Stefan,2.2,7.96,3.06
11.04,Elite Road Central American Championships ME - ITT,RODAS Manuel,1.2,3.35,-12.62
11.04,Elite Road Central American Championships WE - ITT,SOTO Jasmin Gabriela,1.2,,
11.04,Road Central American Championships MJ - ITT,CASTRO Sebastián,JR,,
11.04,Road Central American Championships MU - ITT,SISIMITH Eli Alejandro,JR,2.09,-16.9
11.04,Road Central American Championships WJ - ITT,GÓMEZ Yailin,JR,,
12.04,Paris-Roubaix Femmes,FERRAND-PRÉVOT Pauline,1.WWT,,
12.04,Giro della Città Metropolitana di Reggio Calabria,COLNAGHI Luca,1.1,7.5,1.5
12.04,National Championships Cyprus MU - ITT,IOANNOU Constantinos,NC,,
12.04,National Championships United Arab Emirates ME - ITT,JASIM AL-ALI Abdulla,NC,5.99,-3.64
12.04,National Championships United Arab Emirates MJ - ITT,AMIRI Yousuf,NC,,
12.04,National Championships United Arab Emirates MU - ITT,ALMUTAIWEI Mohammad,NC,5.03,-6.9
12.04,National Championships United Arab Emirates WE - ITT,ALSAYEGH Safia,NC,,
12.04,Trofeu 15 d'Abril,VESHNYAKOV Daniil,1.1,,
12.04,Elite Road Central American Championships ME - TTT,,1.2,,
12.04,Elite Road Central American Championships WE - TTT,,1.2,,
12.04,National Championships Cyprus WU - ITT,KOUKOUMA Eleni,NC,,
12.04,Road Central American Championships MJ - IRR,CASTRO Sebastián,JR,,
12.04,Road Central American Championships WJ - IRR,GÓMEZ Yailin,JR,,
13.04,Paris-Roubaix,VAN DER POEL Mathieu,1.UWT,10.0,10.0
13.04,Paris-Roubaix Juniors,MOURIS Michiel,1.Ncup,,
13.04,Elite Road Central American Championships ME - IRR,ARCHIBOLD Franklin,1.2,6.22,-2.86
13.04,Elite Road Central American Championships WE - IRR,SOTO Jasmin Gabriela,1.2,,
13.04,Paris-Roubaix Espoirs,WITHEN PHILIPSEN Albert,1.2U,9.43,8.06
13.04,Road Central American Championships MU - IRR,TORRES Melvin,JR,,
13.04,Ślężański Mnich VeloBank Bruki & Szutry,BANASZEK Norbert,1.2,5.93,-3.84
13.04,Tr. Città di S.Vendemiano - GP Industria & Commercio,SCHRETTL Marco,1.2U,7.05,-0.03
15.04 - 17.04,Grand Prix Gazalkent,,2.1,,
15.04 - 17.04,Grand Prix Gazalkent Ladies,,2.1,,
15.04 - 18.04,Il Giro d'Abruzzo,ZIMMERMANN Georg,2.1,8.83,6.02
16.04 - 19.04,Eroica Juniores - Nations Cup,,2.Ncup,,
16.04,Ronde van Limburg,FRETIN Milan,1.1,9.89,9.63
16.04 - 20.04,Tour du Loir et Cher,LARSEN Niklas,2.2,9.35,7.79
18.04,De Brabantse Pijl - La Flèche Brabançonne ME,EVENEPOEL Remco,1.Pro,10.0,10.0
18.04,De Brabantse Pijl - La Flèche Brabançonne WE,LONGO BORGHINI Elisa,1.Pro,,
18.04,Classic Grand Besançon Doubs,MARTIN Guillaume,1.1,9.84,9.46
18.04,National Championships Egypt WE - ITT,ZAYED AHMED Ebtissam,NC,,
18.04 - 21.04,TRIXXO Ster Van Zuid Limburg,MICHIELSEN Thor,2.1,,
19.04,National Championships Egypt WE - Road Race,ZAYED AHMED Ebtissam,NC,,
19.04,National Championships United Arab Emirates MJ - Road Race,AMIRI Yousuf,NC,,
19.04,National Championships United Arab Emirates WE - Road Race,ALSAYEGH Safia,NC,,
19.04 - 20.04,Penn Ar Bed - Bro An Hirwazh,ROYER Luc,2.1,,
19.04,Tour du Jura Cycliste,MARTIN Guillaume,1.1,9.84,9.46
19.04,Liège-Bastogne-Liège MU,WIDAR Jarno,1.2U,8.69,5.54
20.04,Amstel Gold Race,SKJELMOSE Mattias,1.UWT,10.0,10.0
20.04,Amstel Gold Race Ladies Edition,BREDEWOLD Mischa,1.WWT,,
20.04,Grand Prix Féminin de Chambéry,MAGNALDI Erica,1.1,,
